,island,sent_number,token,critical,surprisal
8,0,13,今朝,0,14.36978816986080
9,0,13,社外,0,14.128636360168500
10,0,13,に,0,3.045461416244510
11,0,13,発表,0,6.697356224060060
12,0,13,さ,0,1.8699281215667700
13,0,13,れ,0,0.31689491868019100
14,0,13,た,0,0.7473171949386600
15,0,13,若手,1,10.797480583190900
16,0,13,社員,1,9.523563385009770
17,0,13,は,1,2.638730525970460
18,0,13,誇り,1,10.426468849182100
19,0,13,に,1,2.281721353530880
20,0,13,思っ,1,7.992591857910160
21,0,13,た,1,1.0113615989685100
22,0,13,。,1,0.6084564924240110
23,0,13,</s>,1,3.0913562774658200
0,0,14,ドレス,0,10.013398170471200
1,0,14,を,0,3.9772982597351100
2,0,14,デザイン,0,8.451876640319820
3,0,14,し,0,1.3908674716949500
4,0,14,た,0,1.1373388767242400
5,0,14,こと,0,3.3173909187316900
6,0,14,が,0,1.7122673988342300
7,0,14,大勢,0,9.15043830871582
8,0,14,の,0,2.1025941371917700
9,0,14,記者,0,8.02058219909668
10,0,14,に,0,2.0173933506012000
11,0,14,取材,0,8.966797828674320
12,0,14,さ,0,2.4899163246154800
13,0,14,れ,0,0.5554038286209110
14,0,14,た,0,0.9667399525642400
15,0,14,女優,1,10.169172286987300
16,0,14,は,1,2.556403875350950
17,0,14,自信,1,10.265456199646000
18,0,14,を,1,2.148758888244630
19,0,14,付け,1,6.603724956512450
20,0,14,た,1,1.3727772235870400
21,0,14,。,1,0.22956837713718400
22,0,14,</s>,1,2.5235862731933600
0,0,15,日本,0,6.763221740722660
1,0,15,酒,0,9.859326362609860
2,0,15,を,0,3.1097798347473100
3,0,15,作っ,0,7.3563103675842300
4,0,15,た,0,1.1666154861450200
5,0,15,こと,0,3.1774685382843000
6,0,15,が,0,1.5774118900299100
7,0,15,先月,0,9.996192932128910
8,0,15,ガイドブック,0,13.433135986328100
9,0,15,で,0,3.3778812885284400
10,0,15,特集,0,11.55174446105960
11,0,15,さ,0,2.6427063941955600
12,0,15,れ,0,0.4245448112487790
13,0,15,た,0,0.8735448718070980
14,0,15,外国,1,8.538532257080080
15,0,15,人,1,3.927610397338870
16,0,15,は,1,2.036680221557620
17,0,15,周り,1,10.323193550109900
18,0,15,に,1,1.8092427253723100
19,0,15,認め,1,7.27828311920166
20,0,15,られ,1,2.834007740020750
21,0,15,た,1,0.9894972443580630
22,0,15,。,1,0.3976561427116390
23,0,15,</s>,1,2.497098207473760
0,0,16,難病,0,10.783205032348600
1,0,16,の,0,2.461111545562740
2,0,16,診断,0,9.867542266845700
3,0,16,を,0,2.0528252124786400
4,0,16,受け,0,3.8452224731445300
5,0,16,た,0,1.5062978267669700
6,0,16,こと,0,3.3315131664276100
7,0,16,が,0,1.6516737937927200
8,0,16,今朝,0,14.296109199523900
9,0,16,社内,0,12.53891658782960
10,0,16,で,0,2.6763663291931200
11,0,16,公表,0,8.855820655822750
12,0,16,さ,0,1.4636051654815700
13,0,16,れ,0,0.44433337450027500
14,0,16,た,0,0.9383277893066410
15,0,16,重役,1,15.313130378723100
16,0,16,は,1,3.0536203384399400
17,0,16,引き継ぎ,1,12.882980346679700
18,0,16,を,1,4.090022087097170
19,0,16,始め,1,4.854156017303470
20,0,16,た,1,1.2264258861541700
21,0,16,。,1,0.18348172307014500
22,0,16,</s>,1,2.4884774684906000
0,1,17,書い,0,10.493671417236300
1,1,17,た,0,2.1517794132232700
2,1,17,エッセー,0,12.994946479797400
3,1,17,が,0,2.4541451930999800
4,1,17,作家,0,10.407364845275900
5,1,17,に,0,1.8417967557907100
6,1,17,称賛,0,10.037618637085000
7,1,17,さ,0,2.1406943798065200
8,1,17,れ,0,0.3596508204936980
9,1,17,た,0,0.8651285171508790
10,1,17,女性,1,7.474365711212160
11,1,17,議員,1,9.343135833740230
12,1,17,は,1,2.479665756225590
13,1,17,感謝,1,9.825906753540040
14,1,17,を,1,2.9636754989624000
15,1,17,述べ,1,7.428316116333010
16,1,17,た,1,1.0473026037216200
17,1,17,。,1,0.31317266821861300
18,1,17,</s>,1,2.3396501541137700
0,1,18,書い,0,10.493671417236300
1,1,18,た,0,2.1517794132232700
2,1,18,論文,0,9.319146156311040
3,1,18,が,0,2.3420779705047600
